src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,system_process_pid,system_process_name
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,38028,52.59.158.2,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7002,4,296,1.70E+12,1.70E+12,7002,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,38028,52.59.158.2,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7002,4,312,1.70E+12,1.70E+12,7002,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,44902,118.163.215.129,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7001,4,296,1.70E+12,1.70E+12,7001,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,44902,118.163.215.129,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7001,4,312,1.70E+12,1.70E+12,7001,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,37129,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,0,0,1.70E+12,1.70E+12,53,2,219,1.70E+12,1.70E+12,0,1,82,1.70E+12,1.70E+12,0,1,137,DNS,Network,0,6,1.ciscome.pool.ntp.org,,,,,-1,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,37129,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,2,0,1.70E+12,1.70E+12,53,2,227,1.70E+12,1.70E+12,0,1,86,1.70E+12,1.70E+12,0,1,141,DNS,Network,0,6,1.ciscome.pool.ntp.org,,,,,-1,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,58782,162.159.200.1,52:54:00:c2:9a:03,52:54:00,123,17,4,0,0,1.70E+12,1.70E+12,4005,3,270,1.70E+12,1.70E+12,4005,3,270,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,58782,162.159.200.1,52:54:00:c2:9a:03,52:54:00,123,17,4,2,0,1.70E+12,1.70E+12,4005,3,282,1.70E+12,1.70E+12,4005,3,282,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,50840,54.84.37.235,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7008,4,296,1.70E+12,1.70E+12,7008,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,50840,54.84.37.235,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7008,4,312,1.70E+12,1.70E+12,7008,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,38048,52.59.158.2,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7008,4,296,1.70E+12,1.70E+12,7008,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,38048,52.59.158.2,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7008,4,312,1.70E+12,1.70E+12,7008,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.5.236,ec:9b:8b:02:24:38,ec:9b:8b,46101,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,0,1.70E+12,1.70E+12,74,2,202,1.70E+12,1.70E+12,0,1,93,1.70E+12,1.70E+12,0,1,109,DNS.Crashlytics,Network,0,6,firebase-settings.crashlytics.com,,,,,-1,
192.168.5.236,ec:9b:8b:02:24:38,ec:9b:8b,46101,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,0,1.70E+12,1.70E+12,74,2,210,1.70E+12,1.70E+12,0,1,97,1.70E+12,1.70E+12,0,1,113,DNS.Crashlytics,Network,0,6,firebase-settings.crashlytics.com,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,44922,118.163.215.129,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7008,4,296,1.70E+12,1.70E+12,7008,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,44922,118.163.215.129,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7008,4,312,1.70E+12,1.70E+12,7008,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,38058,52.59.158.2,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,0,1.70E+12,1.70E+12,7007,4,296,1.70E+12,1.70E+12,7007,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,38058,52.59.158.2,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,0,1.70E+12,1.70E+12,7007,4,312,1.70E+12,1.70E+12,7007,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,37510,129.6.15.28,52:54:00:c2:9a:03,52:54:00,123,17,4,0,0,1.70E+12,1.70E+12,0,1,90,1.70E+12,1.70E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,37510,129.6.15.28,52:54:00:c2:9a:03,52:54:00,123,17,4,2,0,1.70E+12,1.70E+12,0,1,94,1.70E+12,1.70E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
